year,stock,catch,biomass,c_units,b,b_units,other_b_available
2007,WGOM,8195.1,29131,,,,
2008,WGOM,10351.2,28391,,,,
2009,WGOM,10708.5,22933,,,,
2010,WGOM,10311.6,16064,,,,
2011,WGOM,9994.9,10288,,,,
2012,WGOM,5138.4,4915,,,,
2013,WGOM,3464.3,2870,,,,
2014,WGOM,2423.6,2390,,,,
2015,WGOM,902.6,3003,,,,
2016,WGOM,1252,3559,,,,
2017,WGOM,1461,3570,,,,
2018,WGOM,1150.6,2896,,,,
2019,WGOM,942.6,1993,,,,
2020,WGOM,724.6,1432,,,,
2021,WGOM,786.8,1440,,,,
2022,WGOM,640.7,1491,,,,
2023,WGOM,662.3,1847,,,,
1988,3M,1718,82912,,,,
1989,3M,917,93870,,,,
1990,3M,2762,86730,,,,
1991,3M,8989,73150,,,,
1992,3M,7226,86575,,,,
1993,3M,8316,60830,,,,
1994,3M,6885,53628,,,,
1995,3M,3221,19264,,,,
1996,3M,2305,7025,,,,
1997,3M,1457,5973,,,,
1998,3M,456,2831,,,,
1999,3M,2,2236,,,,
2000,3M,36,2463,,,,
2001,3M,56,3133,,,,
2002,3M,33,3430,,,,
2003,3M,16,4594,,,,
2004,3M,23,7973,,,,
2005,3M,26,12501,,,,
2006,3M,123,27780,,,,
2007,3M,125,41588,,,,
2008,3M,401,56376,,,,
2009,3M,1172,76506,,,,
2010,3M,5245,102984,,,,
2011,3M,9977,105800,,,,
2012,3M,9068,142141,,,,
2013,3M,13521,131549,,,,
2014,3M,14356,129757,,,,
2015,3M,12828,113149,,,,
2016,3M,13339,116647,,,,
2017,3M,13920,98834,,,,
2018,3M,11176,94102,,,,
2019,3M,17381,83856,,,,
2020,3M,8509,58975,,,,
2021,3M,1921,62345,,,,
2022,3M,2263,60064,,,,
2023,3M,3459,57256,,,,
2024,3M,7065,68839,,,,
1959,3NO,64370,206498,t,3+,t,naa*waa*mature
1960,3NO,79677,191145,t,3+,t,naa*waa*mature
1961,3NO,72724,183689,t,3+,t,naa*waa*mature
1962,3NO,34984,187356,t,3+,t,naa*waa*mature
1963,3NO,69742,225336,t,3+,t,naa*waa*mature
1964,3NO,64461,253674,t,3+,t,naa*waa*mature
1965,3NO,99187,285710,t,3+,t,naa*waa*mature
1966,3NO,108919,351832,t,3+,t,naa*waa*mature
1967,3NO,226784,395437,t,3+,t,naa*waa*mature
1968,3NO,165511,320413,t,3+,t,naa*waa*mature
1969,3NO,117705,242348,t,3+,t,naa*waa*mature
1970,3NO,111561,232729,t,3+,t,naa*waa*mature
1971,3NO,126296,240350,t,3+,t,naa*waa*mature
1972,3NO,103374,202008,t,3+,t,naa*waa*mature
1973,3NO,80429,177680,t,3+,t,naa*waa*mature
1974,3NO,73389,122570,t,3+,t,naa*waa*mature
1975,3NO,44174,61837,t,3+,t,naa*waa*mature
1976,3NO,24283,46026,t,3+,t,naa*waa*mature
1977,3NO,17604,59516,t,3+,t,naa*waa*mature
1978,3NO,14718,89177,t,3+,t,naa*waa*mature
1979,3NO,27851,98287,t,3+,t,naa*waa*mature
1980,3NO,19991,101722,t,3+,t,naa*waa*mature
1981,3NO,24344,136115,t,3+,t,naa*waa*mature
1982,3NO,31605,150869,t,3+,t,naa*waa*mature
1983,3NO,28819,161498,t,3+,t,naa*waa*mature
1984,3NO,27103,176068,t,3+,t,naa*waa*mature
1985,3NO,36899,161751,t,3+,t,naa*waa*mature
1986,3NO,50645,150279,t,3+,t,naa*waa*mature
1987,3NO,41619,130301,t,3+,t,naa*waa*mature
1988,3NO,43150,93236,t,3+,t,naa*waa*mature
1989,3NO,33215,71437,t,3+,t,naa*waa*mature
1990,3NO,28846,58228,t,3+,t,naa*waa*mature
1991,3NO,29454,40798,t,3+,t,naa*waa*mature
1992,3NO,12752,22946,t,3+,t,naa*waa*mature
1993,3NO,10646,15739,t,3+,t,naa*waa*mature
1994,3NO,2702,9997,t,3+,t,naa*waa*mature
1995,3NO,172,7559,t,3+,t,naa*waa*mature
1996,3NO,174,9388,t,3+,t,naa*waa*mature
1997,3NO,383,10110,t,3+,t,naa*waa*mature
1998,3NO,547,10177,t,3+,t,naa*waa*mature
1999,3NO,919,10805,t,3+,t,naa*waa*mature
2000,3NO,1050,11794,t,3+,t,naa*waa*mature
2001,3NO,1310,14634,t,3+,t,naa*waa*mature
2002,3NO,2194,14108,t,3+,t,naa*waa*mature
2003,3NO,4870,12187,t,3+,t,naa*waa*mature
2004,3NO,934,8602,t,3+,t,naa*waa*mature
2005,3NO,724,9807,t,3+,t,naa*waa*mature
2006,3NO,600,11534,t,3+,t,naa*waa*mature
2007,3NO,848,12006,t,3+,t,naa*waa*mature
2008,3NO,923,14381,t,3+,t,naa*waa*mature
2009,3NO,1083,18864,t,3+,t,naa*waa*mature
2010,3NO,946,18864,t,3+,t,naa*waa*mature
2011,3NO,867,21758,t,3+,t,naa*waa*mature
2012,3NO,734,26454,t,3+,t,naa*waa*mature
2013,3NO,1113,26844,t,3+,t,naa*waa*mature
2014,3NO,734,25589,t,3+,t,naa*waa*mature
2015,3NO,586,24933,t,3+,t,naa*waa*mature
2016,3NO,666,23504,t,3+,t,naa*waa*mature
2017,3NO,649,21350,t,3+,t,naa*waa*mature
2018,3NO,400,16828,t,3+,t,naa*waa*mature
2019,3NO,527,9336,t,3+,t,naa*waa*mature
2020,3NO,587,9354,t,3+,t,naa*waa*mature
